Designator,Mid X,Mid Y,Rotation,Layer
LED24,209.5513,-61.04015,0.0,bottom
LED25,228.6017,-61.04015,0.0,bottom
LED26,247.6521,-61.04015,0.0,bottom
LED27,266.7025,-61.04015,0.0,bottom
LED28,295.2759,-61.04015,0.0,bottom
LED29,328.6134,-61.04015,0.0,bottom
LED3,85.7259,-41.99015,0.0,bottom
LED30,347.6634,-61.04015,0.0,bottom
LED31,366.7134,-61.04015,0.0,bottom
LED32,42.8634,-80.09015,0.0,bottom
LED33,66.6759,-80.09015,0.0,bottom
LED34,85.7263,-80.09015,0.0,bottom
LED35,104.7767,-80.09015,0.0,bottom
LED36,123.8271,-80.09015,0.0,bottom
LED37,142.8775,-80.09015,0.0,bottom
LED38,161.9279,-80.09015,0.0,bottom
LED39,180.9759,-80.09015,0.0,bottom
LED4,104.7759,-41.99015,0.0,bottom
LED40,200.0263,-80.09015,0.0,bottom
LED41,219.0767,-80.09015,0.0,bottom
LED42,238.1271,-80.09015,0.0,bottom
LED43,257.1775,-80.09015,0.0,bottom
LED44,276.2279,-80.09015,0.0,bottom
LED45,300.0384,-80.09015,0.0,bottom
LED46,328.6134,-80.09015,0.0,bottom
LED47,347.6634,-80.09015,0.0,bottom
LED48,366.7134,-80.09015,0.0,bottom
LED49,45.24465,-99.14015,0.0,bottom
LED5,123.8259,-41.99015,0.0,bottom
LED50,71.4384,-99.14015,0.0,bottom
LED51,90.4888,-99.14015,0.0,bottom
LED52,109.5392,-99.14015,0.0,bottom
LED53,128.5896,-99.14015,0.0,bottom
LED54,147.64,-99.14015,0.0,bottom
LED55,166.6904,-99.14015,0.0,bottom
LED56,185.7384,-99.14015,0.0,bottom
LED57,204.7888,-99.14015,0.0,bottom
LED58,223.8392,-99.14015,0.0,bottom
LED59,242.8896,-99.14015,0.0,bottom
LED6,142.8759,-41.99015,0.0,bottom
LED60,261.94,-99.14015,0.0,bottom
LED61,292.89465,-99.14015,0.0,bottom
LED62,328.6134,-99.14015,0.0,bottom
LED63,347.6634,-99.14015,0.0,bottom
LED64,366.7134,-99.14015,0.0,bottom
LED65,50.00715,-118.19015,0.0,bottom
LED66,80.9634,-118.19015,0.0,bottom
LED67,100.0138,-118.19015,0.0,bottom
LED68,119.0642,-118.19015,0.0,bottom
LED69,138.1146,-118.19015,0.0,bottom
LED7,161.9259,-41.99015,0.0,bottom
LED70,157.165,-118.19015,0.0,bottom
LED71,176.2154,-118.19015,0.0,bottom
LED72,195.2634,-118.19015,0.0,bottom
LED73,214.3138,-118.19015,0.0,bottom
LED74,233.3642,-118.19015,0.0,bottom
LED75,252.4146,-118.19015,0.0,bottom
LED76,288.13215,-118.19015,0.0,bottom
LED77,347.6634,-118.19015,0.0,bottom
LED78,40.48215,-137.24015,0.0,bottom
LED79,64.29465,-137.24015,0.0,bottom
LED8,180.9759,-41.99015,0.0,bottom
LED80,88.10715,-137.24015,0.0,bottom
LED81,159.54465,-137.24015,0.0,bottom
LED82,230.98215,-137.24015,0.0,bottom
LED83,254.79465,-137.24015,0.0,bottom
LED84,278.60715,-137.24015,0.0,bottom
LED85,302.41965,-137.24015,0.0,bottom
LED86,328.6134,-137.24015,0.0,bottom
LED87,347.6634,-137.24015,0.0,bottom
LED88,366.7134,-137.24015,0.0,bottom
LED9,200.0259,-41.99015,0.0,bottom
P1,28.7675,-44.955,180.0,top
P2,143.8,-138.87,90.0,top
P3,177.68375,-131.6125,90.0,top
P4,186.17625,-132.975,0.0,top
R1,31.39,-41.8,180.0,top
R10,26.265,-45.425,180.0,top
R11,26.265,-44.45,0.0,top
R12,141.875,-140.6675,0.0,top
R13,142.1775,-141.6175,180.0,top
R14,143.3,-136.3675,90.0,top
R15,147.075,-140.4175,90.0,top
R16,144.375,-141.4175,90.0,top
R17,144.25,-136.37,270.0,top
R18,181.02375,-133.2925,90.0,top
R19,178.60375,-134.0225,90.0,top
R2,31.5425,-44.25,180.0,top
R20,174.79375,-134.4925,90.0,top
